Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
2,MNQ,Long,10.0,2.5,Win,0-30 sec,0-30 min,28.5,45.6,7,21529.5,21532.0,2025-01-17 17:48:38,2025-01-17 17:48:45
2,MNQ,Long,13.0,3.25,Win,30-120 sec,0-30 min,27.3,47.3,58,21519.0,21522.25,2025-01-17 17:54:16,2025-01-17 17:55:14
2,MNQ,Short,12.0,3.0,Win,30-120 sec,0-30 min,25.3,50.6,95,21539.5,21542.5,2025-01-17 17:57:48,2025-01-17 17:56:12
2,MNQ,Short,80.0,20.0,Win,0-30 sec,30-60 min,26.4,52.7,13,21528.25,21548.25,2025-01-17 18:02:58,2025-01-17 18:02:44
2,MNQ,Long,80.0,20.0,Win,30-120 sec,30-60 min,27.1,52.8,31,21559.75,21579.75,2025-01-17 18:05:29,2025-01-17 18:06:00
2,MNQ,Short,-56.0,-14.0,Loss,30-120 sec,30-60 min,23.8,56.3,50,21520.5,21506.5,2025-01-17 18:23:52,2025-01-17 18:23:01
2,MNQ,Short,69.0,17.25,Win,30-120 sec,30-60 min,22.7,56.3,102,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
2,MNQ,Long,35.0,8.75,Win,0-30 sec,30-60 min,22.9,57.9,19,21494.75,21503.5,2025-01-17 18:28:06,2025-01-17 18:28:25
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,30-60 min,22.9,57.9,6,21527.25,21513.25,2025-01-17 18:29:05,2025-01-17 18:28:58
2,MNQ,Long,29.0,7.25,Win,30-120 sec,30-60 min,23.4,57.9,59,21527.75,21535.0,2025-01-17 18:29:12,2025-01-17 18:30:11
2,MNQ,Long,32.0,8.0,Win,0-30 sec,1-2 hour,23.9,57.9,22,21523.25,21531.25,2025-01-17 18:30:56,2025-01-17 18:31:19
2,MNQ,Short,32.0,8.0,Win,0-30 sec,1-2 hour,17.7,48.8,15,21566.25,21574.25,2025-01-17 18:41:23,2025-01-17 18:41:07
1,MYM,Long,12.5,25.0,Win,2-5 min,0-30 min,19.4,21.9,193,43897.0,43922.0,2025-01-21 17:37:50,2025-01-21 17:41:04
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,0-30 min,24.8,27.2,17,21647.25,21633.25,2025-01-21 17:47:30,2025-01-21 17:47:13
2,MNQ,Long,30.0,7.5,Win,30-120 sec,30-60 min,31.1,38.5,58,21587.25,21594.75,2025-01-21 18:02:36,2025-01-21 18:03:35
2,MNQ,Long,36.0,9.0,Win,0-30 sec,30-60 min,29.8,41.3,13,21605.75,21614.75,2025-01-21 18:05:57,2025-01-21 18:06:11
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,23.8,41.3,7,21620.25,21614.25,2025-01-21 18:09:44,2025-01-21 18:09:51
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,23.6,47.2,3,21612.5,21618.5,2025-01-21 18:10:04,2025-01-21 18:10:08
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,25.5,47.2,7,21582.25,21576.25,2025-01-21 18:11:46,2025-01-21 18:11:53
1,NQ,Short,120.0,6.0,Win,0-30 sec,30-60 min,25.5,47.2,3,21559.75,21565.75,2025-01-21 18:12:02,2025-01-21 18:11:59
2,MNQ,Short,0.0,0.0,Breakeven,30-120 sec,30-60 min,24.6,52.1,38,21564.25,21564.25,2025-01-21 18:16:58,2025-01-21 18:16:20
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,25.1,52.1,5,21590.0,21596.0,2025-01-21 18:18:07,2025-01-21 18:18:12
2,MNQ,Short,-1.0,-0.25,Loss,30-120 sec,1-2 hour,18.8,56.3,49,21637.0,21636.75,2025-01-21 18:30:50,2025-01-21 18:30:01
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.4,56.3,16,21626.25,21632.25,2025-01-21 18:31:54,2025-01-21 18:32:10
1,MNQ,Long,23.0,11.5,Win,5+ min,1-2 hour,17.4,56.4,442,21622.75,21634.25,2025-01-21 18:41:05,2025-01-21 18:48:27
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.0,53.9,7,21598.75,21604.75,2025-01-21 18:47:09,2025-01-21 18:47:17
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.0,53.9,7,21610.0,21616.0,2025-01-21 18:47:36,2025-01-21 18:47:43
1,NQ,Long,0.0,0.0,Breakeven,30-120 sec,2+ hour,7.1,20.5,33,22069.5,22069.5,2025-01-22 19:52:51,2025-01-22 19:53:25
1,NQ,Short,0.0,0.0,Breakeven,0-30 sec,2+ hour,7.1,20.5,23,22071.5,22071.5,2025-01-22 19:54:16,2025-01-22 19:53:53
1,NQ,Long,120.0,6.0,Win,2-5 min,2+ hour,7.1,20.2,263,22075.25,22081.25,2025-01-22 19:56:40,2025-01-22 20:01:03
