symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQH5,-2,0,0.25,167247890012,167247890031,2,21529.50,21532.00,$10.00,01/17/2025 17:48:38,01/17/2025 17:48:45,7sec
MNQH5,-2,0,0.25,167247890067,167247890089,2,21519.00,21522.25,$13.00,01/17/2025 17:54:16,01/17/2025 17:55:14,58sec
MNQH5,-2,0,0.25,167247890135,167247890108,2,21539.50,21542.50,$12.00,01/17/2025 17:57:48,01/17/2025 17:56:12,1min 35sec
MNQH5,-2,0,0.25,167247890183,167247890151,1,21528.25,21548.25,$40.00,01/17/2025 18:02:58,01/17/2025 18:02:44,13sec
MNQH5,-2,0,0.25,167247890183,167247890169,1,21528.25,21548.25,$40.00,01/17/2025 18:02:58,01/17/2025 18:02:45,12sec
MNQH5,-2,0,0.25,167247890241,167247890259,2,21559.75,21579.75,$80.00,01/17/2025 18:05:29,01/17/2025 18:06:00,31sec
MNQH5,-2,0,0.25,167247890297,167247890279,2,21520.50,21506.50,$(56.00),01/17/2025 18:23:52,01/17/2025 18:23:01,50sec
MNQH5,-2,0,0.25,167247890369,167247890316,1,21503.50,21520.75,$34.50,01/17/2025 18:26:11,01/17/2025 18:24:28,1min 42sec
MNQH5,-2,0,0.25,167247890369,167247890334,1,21503.50,21520.75,$34.50,01/17/2025 18:26:11,01/17/2025 18:24:28,1min 42sec
MNQH5,-2,0,0.25,167247890387,167247890409,2,21494.75,21503.50,$35.00,01/17/2025 18:28:06,01/17/2025 18:28:25,19sec
MNQH5,-2,0,0.25,167247890446,167247890428,2,21527.25,21513.25,$(56.00),01/17/2025 18:29:05,01/17/2025 18:28:58,6sec
MNQH5,-2,0,0.25,167247890465,167247890496,2,21527.75,21535.00,$29.00,01/17/2025 18:29:12,01/17/2025 18:30:11,59sec
MNQH5,-2,0,0.25,167247890512,167247890547,2,21523.25,21531.25,$32.00,01/17/2025 18:30:56,01/17/2025 18:31:19,22sec
MNQH5,-2,0,0.25,167247890595,167247890559,2,21566.25,21574.25,$32.00,01/17/2025 18:41:23,01/17/2025 18:41:07,15sec
MYMH5,0,0,1.0,167247890652,167247890705,1,43897,43922,$12.50,01/21/2025 17:37:50,01/21/2025 17:41:04,3min 13sec
MNQH5,-2,0,0.25,167247890740,167247890721,2,21647.25,21633.25,$(56.00),01/21/2025 17:47:30,01/21/2025 17:47:13,17sec
MNQH5,-2,0,0.25,167247890759,167247890797,2,21587.25,21594.75,$30.00,01/21/2025 18:02:36,01/21/2025 18:03:35,58sec
MNQH5,-2,0,0.25,167247890816,167247890847,2,21605.75,21614.75,$36.00,01/21/2025 18:05:57,01/21/2025 18:06:11,13sec
NQH5,-2,0,0.25,167247890863,167247890882,1,21620.25,21614.25,$(120.00),01/21/2025 18:09:44,01/21/2025 18:09:51,7sec
NQH5,-2,0,0.25,167247890897,167247890925,1,21612.50,21618.50,$120.00,01/21/2025 18:10:04,01/21/2025 18:10:08,3sec
NQH5,-2,0,0.25,167247890944,167247890962,1,21582.25,21576.25,$(120.00),01/21/2025 18:11:46,01/21/2025 18:11:53,7sec
NQH5,-2,0,0.25,167247891005,167247890977,1,21559.75,21565.75,$120.00,01/21/2025 18:12:02,01/21/2025 18:11:59,3sec
MNQH5,-2,0,0.25,167247891077,167247891051,2,21564.25,21564.25,$0.00,01/21/2025 18:16:58,01/21/2025 18:16:20,38sec
NQH5,-2,0,0.25,167247891096,167247891124,1,21590.00,21596.00,$120.00,01/21/2025 18:18:07,01/21/2025 18:18:12,5sec
MNQH5,-2,0,0.25,167247891188,167247891156,2,21637.00,21636.75,$(1.00),01/21/2025 18:30:50,01/21/2025 18:30:01,49sec
NQH5,-2,0,0.25,167247891203,167247891233,1,21626.25,21632.25,$120.00,01/21/2025 18:31:54,01/21/2025 18:32:10,16sec
NQH5,-2,0,0.25,167247891303,167247891321,1,21598.75,21604.75,$120.00,01/21/2025 18:47:09,01/21/2025 18:47:17,7sec
NQH5,-2,0,0.25,167247891341,167247891363,1,21610.00,21616.00,$120.00,01/21/2025 18:47:36,01/21/2025 18:47:43,7sec
MNQH5,-2,0,0.25,167247891252,167247891387,1,21622.75,21634.25,$23.00,01/21/2025 18:41:05,01/21/2025 18:48:27,7min 22sec
